Parámetros del algoritmo
------------------------
Algoritmo: BusquedaTabu
Dataset: ford01.dat
Semilla: 53054673

Solución inicial y su coste
---------------------------
[14, 2, 0, 11, 19, 3, 7, 18, 10, 12, 15, 13, 16, 4, 9, 1, 6, 5, 17, 8]
Coste: 3640

Evolución de la búsqueda
------------------------
Intercambio (6, 11) -> Nueva solución con coste 3816
Intercambio (3, 19) -> Nueva solución con coste 3764
Intercambio (2, 5) -> Nueva solución con coste 3724
Intercambio (4, 9) -> Nueva solución con coste 3700
Intercambio (13, 15) -> Nueva solución con coste 3684
Intercambio (5, 17) -> Nueva solución con coste 3678
Intercambio (2, 7) -> Peor solución (coste 3682) — no aceptada
Intercambio (8, 15) -> Nueva solución con coste 3668
Intercambio (2, 16) -> Nueva solución con coste 3658
Intercambio (10, 17) -> Peor solución (coste 3662) — no aceptada
Intercambio (1, 17) -> Nueva solución con coste 3656
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
Intercambio (10, 14) -> Peor solución (coste 3656) — no aceptada
