Parámetros del algoritmo
------------------------
Algoritmo: BusquedaTabu
Dataset: ford03.dat
Semilla: 5430765

Solución inicial y su coste
---------------------------
[5, 27, 10, 9, 23, 22, 12, 6, 17, 4, 26, 11, 16, 25, 21, 14, 2, 19, 1, 8, 0, 13, 3, 20, 24, 29, 7, 28, 15, 18]
Coste: 13390

Evolución de la búsqueda
------------------------
Intercambio (26, 29) -> Nueva solución con coste 13834
Intercambio (13, 16) -> Nueva solución con coste 13728
Intercambio (8, 24) -> Nueva solución con coste 13660
Intercambio (1, 5) -> Nueva solución con coste 13602
Intercambio (11, 12) -> Nueva solución con coste 13544
Intercambio (2, 19) -> Nueva solución con coste 13500
Intercambio (7, 26) -> Nueva solución con coste 13478
Intercambio (2, 20) -> Nueva solución con coste 13464
Intercambio (15, 20) -> Nueva solución con coste 13446
Intercambio (3, 24) -> Nueva solución con coste 13434
Intercambio (4, 6) -> Nueva solución con coste 13424
Intercambio (21, 22) -> Nueva solución con coste 13414
Intercambio (19, 24) -> Nueva solución con coste 13406
Intercambio (17, 19) -> Nueva solución con coste 13394
Intercambio (9, 16) -> Nueva solución con coste 13388
Intercambio (4, 17) -> Nueva solución con coste 13384
Intercambio (6, 20) -> Nueva solución con coste 13382
Intercambio (20, 27) -> Nueva solución con coste 13380
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
Intercambio (3, 20) -> Peor solución (coste 13380) — no aceptada
