Parámetros del algoritmo
------------------------
Algoritmo: BusquedaTabu
Dataset: ford04.dat
Semilla: 53054673

Solución inicial y su coste
---------------------------
[12, 25, 2, 10, 6, 24, 7, 27, 26, 5, 8, 22, 0, 13, 3, 23, 17, 16, 4, 19, 9, 21, 11, 15, 28, 20, 18, 14, 1, 29]
Coste: 175060

Evolución de la búsqueda
------------------------
Intercambio (5, 19) -> Peor solución (coste 175740) — no aceptada
Intercambio (1, 5) -> Nueva solución con coste 175390
Intercambio (4, 14) -> Nueva solución con coste 175222
Intercambio (1, 13) -> Peor solución (coste 175438) — no aceptada
Intercambio (13, 28) -> Nueva solución con coste 175184
Intercambio (4, 14) -> Peor solución (coste 175304) — no aceptada
Intercambio (9, 10) -> Nueva solución con coste 174966
Intercambio (15, 28) -> Peor solución (coste 175202) — no aceptada
Intercambio (10, 17) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
Intercambio (6, 8) -> Peor solución (coste 174948) — no aceptada
Intercambio (6, 8) -> Nueva solución con coste 174736
Intercambio (8, 25) -> Peor solución (coste 175040) — no aceptada
Intercambio (8, 25) -> Nueva solución con coste 174736
